Sport;Sport;Sport;Sport;Musique;Musique;Musique;Musique;Science;Science;Science;Science;ASMR;ASMR;ASMR;ASMR;Lecture;Lecture;Lecture;Lecture
Entrainement intensif pour ameliorer vos performances; Conseils pour une meilleure condition physique; Seances d'entrainement a domicile; Techniques avancees de musculation; Decouvrez les derniers tubes musicaux; Mix exclusif pour une ambiance parfaite; Sessions live avec des artistes emergents; Playlist pour se detendre et se concentrer; Exploration des mysteres de l'univers; Les dernieres avancees en recherche spatiale; Decouvertes etonnantes dans le monde de la biologie; Conferences sur la physique quantique; Plongez dans une relaxation profonde avec des sons apaisants; Experience sensorielle pour un sommeil reparateur; ASMR pour soulager le stress et l'anxiete; Relaxation totale avec des bruits naturels; Plaisir de la lecture : decouvrez de nouvelles histoires captivantes; Recommandations de livres pour tous les passionnes; Interviews d'auteurs a succes; Club de lecture virtuel : discussions et critiques
5;5;5;0;0;0;0;0;3;3;0;0;1;1;0;0;0;0;0;0
0;4;3;5;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
5;0;4;3;2;0;0;0;0;0;3;3;1;0;0;0;3;0;2;0
5;3;0;5;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;5;5;5;0;0;0;0;0;3;3;0;0;1;1;0;0
0;0;0;0;0;4;3;5;0;0;0;1;0;0;0;0;1;1;0;1
3;0;2;0;5;0;4;3;2;0;0;0;0;0;3;3;1;0;0;0
0;0;0;0;5;3;0;5;0;0;3;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;5;5;5;0;0;0;0;0;3;3;0;0
1;1;0;1;0;0;0;0;0;4;3;5;0;0;0;1;0;0;0;0
1;0;0;0;3;0;2;0;5;0;4;3;2;0;0;0;0;0;3;3
0;0;0;1;0;0;0;0;5;3;0;5;0;0;3;0;0;0;0;0
0;0;0;1;1;1;0;0;0;0;0;0;5;5;5;0;0;0;0;0
3;3;0;0;1;1;0;1;0;0;0;0;0;4;3;5;0;0;0;1
0;0;0;0;1;0;0;0;3;0;2;0;5;0;4;3;2;0;0;0
0;0;3;3;0;0;0;1;0;0;0;0;5;3;0;5;0;0;3;0
0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;5;5;5;0
0;0;0;1;3;3;0;0;1;1;0;1;0;0;0;0;0;4;3;5
2;0;0;0;0;0;0;0;1;0;0;0;3;0;2;0;5;0;4;3
0;0;3;0;0;0;3;3;0;0;0;1;0;0;0;0;5;3;0;5
